(57.58804893493652, 37.8136)
(58.590118408203125, 37.7878)
(59.59241843223572, 37.8136)
(60.595319509506226, 37.7363)
(61.59816384315491, 37.7878)
(62.6003851890564, 37.7363)
(63.60269570350647, 37.8394)
(64.60496425628662, 37.8394)
(65.60715913772583, 37.9425)
(66.61003708839417, 37.8394)
(67.61232781410217, 37.8651)
(68.61460614204407, 37.8394)
(69.61683416366577, 37.7106)
(70.61903119087219, 37.8136)
(71.62125492095947, 37.8651)
(72.62344479560852, 37.8909)
(73.62564420700073, 37.9425)
(74.62782335281372, 37.9683)
(75.62999820709229, 38.0977)
(76.63228511810303, 38.1235)
(77.63447213172913, 38.0458)
(78.63673567771912, 38.0199)
(79.63893628120422, 38.0199)
(80.64115047454834, 38.0199)
(81.64334225654602, 38.0458)
(82.64555931091309, 37.9683)
(83.64777398109436, 38.0199)
(84.65000557899475, 38.0199)
(85.65225410461426, 38.0718)
(86.65445804595947, 37.9166)
(87.65734148025513, 38.0199)
(88.66028189659119, 38.0977)
(89.66317081451416, 38.0199)
(90.66537022590637, 37.9941)
(91.66763353347778, 38.0718)
(92.6698625087738, 38.1235)
(93.67216181755066, 38.1753)
(94.67439293861389, 38.0718)
(95.67660713195801, 38.0458)
(96.67882680892944, 38.0458)
(97.68101477622986, 38.0199)
(98.68327975273132, 38.1494)
(99.6854944229126, 38.1494)
(100.68771982192993, 38.0977)
(101.6899025440216, 38.1235)
(102.69218635559082, 38.0718)
(103.69436645507812, 38.1494)
(104.6965401172638, 38.0199)
(105.69877028465271, 38.0199)
(106.70096206665039, 38.0977)
(107.70275735855103, 38.1235)
(108.7050392627716, 38.1494)
(109.70721101760864, 38.1235)
(110.7096254825592, 38.1494)
(111.71196293830872, 37.9941)
(112.71441841125488, 38.0199)
(113.71659111976624, 38.0199)
(114.71887278556824, 38.1494)
(115.72108817100525, 38.0199)
(116.72329640388489, 38.1494)
(117.72558903694153, 38.1494)
(118.72786855697632, 38.0718)
(119.73006653785706, 38.2791)
(120.73238730430603, 38.0458)
(121.73458099365234, 38.1753)
(122.73687553405762, 38.1235)
(123.73904657363892, 38.0199)
(124.74124717712402, 38.1235)
(125.74344992637634, 38.0977)
(126.74563837051392, 38.0199)
(127.74791717529297, 38.1753)
(128.7503960132599, 38.0199)
(129.75256156921387, 38.0199)
(130.75475692749023, 38.0718)
(131.7569398880005, 38.0199)
(132.75912070274353, 38.1235)
(133.76131105422974, 38.1235)
(134.76350283622742, 38.2532)
(135.76568007469177, 38.1235)
(136.7678644657135, 38.1235)
(137.7701280117035, 38.1494)
(138.77273631095886, 38.0199)
(139.77496528625488, 38.1753)
(140.77714014053345, 38.1753)
(141.77928709983826, 38.1235)
(142.7814586162567, 38.2532)
(143.7836458683014, 38.0977)
(144.78588128089905, 38.2012)
(145.78808331489563, 38.1494)
(146.79025077819824, 38.2012)
(147.79260540008545, 38.2532)
(148.79484748840332, 38.1753)
(149.7970952987671, 38.2532)
(150.7992808818817, 38.1235)
(151.8014702796936, 38.1235)
(152.80372548103333, 38.2272)
(153.8059594631195, 38.1753)
(154.80819463729858, 38.1235)
(155.81039237976074, 38.1494)
(156.8126358985901, 38.0977)
(157.8148124217987, 38.2012)
(158.81707859039307, 38.0718)
(159.8192641735077, 38.1753)
(160.82154083251953, 38.1494)
(161.8238832950592, 38.1753)
(162.82607245445251, 38.2272)
(163.8284933567047, 38.2532)
(164.8310089111328, 38.1753)
(165.8334391117096, 38.0977)
(166.83573079109192, 38.1753)
(167.83791851997375, 38.2791)
(168.840176820755, 38.1235)
(169.8427541255951, 38.1753)
(170.8450584411621, 38.2532)
(171.84732675552368, 38.1235)
(172.84943866729736, 38.1753)
