(3.5780868530273438, 0.08101244472536709)
(24.576433181762695, 1.1387741904710609)
(45.58112335205078, 58.28272510896467)
(66.5761296749115, 146.04447437129141)
(87.57093548774719, 81.5351769540657)
(108.57032513618469, 4.469050894797995)
(129.5789110660553, 33.608485590395254)
(150.5749077796936, 164.90074662042622)
(171.57776713371277, 142.209606935707)
(192.57364630699158, 82.18174104373496)
(214.57676601409912, 4.606821710263502)
(236.57212090492249, 1.0531698534428218)
(257.5715386867523, 0.731986229606547)
(278.57469153404236, 0.9664050304871906)
(300.57380986213684, 0.9680995459746213)
(321.57428073883057, 2.8180213284267026)
(342.5737464427948, 1.320192628591004)
(363.58165168762207, 98.28647191023481)
(384.5769233703613, 134.05354161313005)
(405.56390738487244, 53.11280608760403)
(426.5778567790985, 4.425553028461094)
(447.5870761871338, 4.49720480602629)
